Gene ID	Gene Name	g1.WithInSampleAbundance	g7.WithInSampleAbundance	g6.WithInSampleAbundance	g10.WithInSampleAbundance	g5.WithInSampleAbundance	g3.WithInSampleAbundance	g8.WithInSampleAbundance	g9.WithInSampleAbundance	g2.WithInSampleAbundance	g4.WithInSampleAbundance
A1BG		50022	122700	100715	205165	103664	119552	77635	35546	262850	66632
A2M		27161	60439	43614	145840	60296	67671	21599	40003	139224	27828
A2ML1		0	0	866	4084	0	1438	0	712	0	454
AAAS		4547	2770	4546	2855	4706	3787	4361	3539	4971	3385
AACS		2969	1613	5720	1923	5263	7240	5930	9319	1451	1571
AAGAB		3221	1250	4433	0	3697	4548	10695	7315	1858	4863
AAK1		2382	1208	3000	472	2269	2612	2016	3646	2426	2669
AAMDC		8552	27261	33408	26395	25189	27690	32752	25177	13874	24084
AAMP		7706	5085	6140	4355	5444	5545	6497	4287	6429	5216
AAR2		767	0	0	0	838	899	910	671	0	0
AARS1		11720	8824	7685	5527	6220	11341	27274	14045	7585	8926
AARS2		2000	1901	1268	1429	1205	765	2745	1866	1436	992
AARSD1		2273	3550	3632	3048	3449	4062	3423	2764	5297	2061
AASDHPPT		5078	4895	4074	4178	4617	4184	7977	7049	4332	4279
AATF		561	0	0	0	0	71	0	138	0	0
ABAT		745	18963	9207	0	9610	24642	24846	40672	2867	3680
ABCA12		0	0	0	0	0	0	0	17	0	0
ABCA3		0	0	18	0	0	0	5548	1320	0	0
ABCA8		0	182	446	0	797	486	0	0	421	0
ABCB10		863	166	404	0	0	539	435	954	195	1494
ABCB6		3171	0	3648	2912	2690	21768	2784	2810	0	10809
ABCB7		1530	0	221	0	0	0	1884	1146	0	535
ABCB8		490	0	484	1138	0	635	390	747	0	589
ABCB9		996	564	1225	1820	974	1670	0	0	4389	0
ABCC1		705	0	369	445	288	616	190	2413	268	498
ABCC11		0	0	0	0	0	1458	0	698	0	0
ABCC3		840	240	917	0	749	810	0	463	0	0
ABCC4		282	0	314	0	217	367	272	103	177	406
ABCC5		0	0	0	0	0	0	49	0	0	31
ABCD1		2318	0	546	1232	848	2589	1106	676	721	500
ABCD2		0	0	0	0	0	0	0	0	0	0
ABCD3		3406	2099	4539	1748	2501	3417	6433	16502	2299	2440
ABCE1		8792	7596	8057	6237	7671	8437	7182	6424	10559	10173
ABCF1		3089	371	737	2294	611	2625	1172	1879	645	2037
ABCF2		901	1125	1625	882	1269	1537	1778	2739	869	1638
ABCF3		3903	3133	3108	1819	3759	4365	8669	3673	5262	3310
ABHD10		6669	9920	8510	8160	14268	9710	13985	9273	9638	8997
ABHD11		29691	20037	18555	21506	27103	84755	52777	54963	9351	10198
ABHD12		4449	5449	5848	4230	8282	4171	7597	7937	4520	10857
ABHD13		283	0	262	0	0	547	801	197	0	0
ABHD14B		58887	80992	91905	96161	97857	62848	28526	64170	63870	57668
ABHD16A		5393	4712	5837	3609	4989	6803	7366	4461	5214	3677
ABHD4		918	0	1404	161	536	320	2253	1245	0	5971
ABHD5		2171	4411	2452	26035	2599	1082	2121	3924	0	820
ABI1		9742	9754	10028	5727	7419	5357	9774	10075	11388	9370
ABI2		996	1093	2087	262	2189	648	1823	1551	2777	1070
ABI3		7391	3537	4138	2190	4419	4707	2739	2945	1454	2906
ABI3BP		3966	16136	10018	26139	13437	16940	3124	3833	28692	0
ABLIM1		0	973	958	2140	1793	240	0	1279	0	884
ABLIM3		0	0	105	318	271	0	410	106	0	0
ABR		1519	1357	1296	632	952	2398	2166	2371	2363	1375
ABRACL		27591	25000	27479	12392	35813	45553	23987	21707	33744	55271
ABRAXAS2		3162	3718	3188	894	2682	3633	4088	6295	3416	3229
ABT1		1380	0	0	2358	0	19767	1327	355	0	0
ACAA1		21451	22790	17215	23284	22687	22605	13000	18304	16103	22217
ACAA2		30550	36008	22861	77125	32007	22054	5271	24816	23271	28513
ACACA		696	1008	1150	529	1232	1576	738	1861	1106	1491
ACACB		0	80	216	965	215	71	0	378	0	0
ACAD10		35	0	48	0	39	56	358	154	0	108
ACAD11		0	513	0	666	0	330	0	523	0	609
ACAD8		3747	6052	5326	4059	4820	3593	18962	4739	5031	4824
ACAD9		8338	6598	5113	11042	4634	7011	5016	7484	15659	5133
ACADL		0	0	0	1034	0	0	0	0	0	0
ACADM		18691	30655	24443	18691	17191	21798	33792	44564	11936	18809
ACADS		4214	7249	6538	18459	7370	7874	20272	19516	8866	4863
ACADSB		8983	29300	37674	9025	12155	10431	67599	66716	103840	22446
ACADVL		23150	25158	23783	34773	24064	21325	22124	16531	19910	29793
ACAN		0	121	110	150	0	87	95	0	872	175
ACAP1		1488	130	0	0	1233	1131	0	476	0	163
ACAP2		1548	891	1275	730	1195	1356	798	1102	1090	1097
ACAT1		38949	48992	37997	56457	35711	37204	53080	80262	27220	36152
ACAT2		8592	9854	8644	8015	9299	7845	10766	10577	10649	8618
ACBD3		5228	6042	5802	3381	3038	5056	6910	4654	3881	8424
ACBD5		661	0	1946	0	0	1895	4569	3661	0	2841
ACE		1773	1114	1872	1709	1453	2586	288	498	1475	1694
ACE2		0	0	0	0	0	0	0	0	0	0
ACIN1		449	0	0	626	98	436	97	522	0	1197
ACLY		15549	12476	13918	6437	9739	15292	8281	14294	11544	17049
ACO1		8868	10121	7992	9865	10745	10070	7878	11956	13057	3039
ACO2		37004	20877	18621	30820	27133	27694	40572	37682	26082	17231
ACOT1		19415	37251	34086	43109	20056	19089	81540	28677	24439	21664
ACOT11		162	0	0	0	0	0	0	169	0	0
ACOT13		23696	32733	32501	36212	32457	21243	55886	26976	21571	33261
ACOT4		0	0	0	0	0	0	792	191	0	0
ACOT7		6086	4487	4786	4766	1924	7235	11149	10404	7976	9301
ACOT8		4102	0	6708	2241	1444	7791	4877	8398	1059	6496
ACOT9		7225	11581	6153	8742	6409	6056	4012	4312	4497	21753
ACOX1		5632	3895	5449	4885	1571	5043	2515	4962	8062	6718
ACOX2		0	1260	1010	594	475	0	607	2309	0	157
ACOX3		2103	2471	3099	280	1736	2646	3901	4020	3678	3322
ACP1		134472	130650	172780	116418	118528	115886	134043	144616	172839	161159
ACP2		14438	19277	14469	10208	12014	12609	31461	34009	21325	43387
ACP5		6340	3021	2250	3662	3727	4509	7483	3869	0	5708
ACP6		0	0	643	0	0	0	1918	409	0	788
ACSF2		4402	4949	4976	4157	6611	8415	14498	7528	4469	7085
ACSF3		3211	2496	2080	2080	2648	3055	1970	8699	2128	3083
ACSL1		9855	12871	8203	46243	8159	10700	6025	8033	9529	6643
ACSL3		4524	4571	4854	4254	4741	6186	3868	6224	4828	4458
ACSL4		2936	1291	1155	1442	1362	1173	890	760	1421	1485
ACSL5		2548	706	0	0	1336	737	0	457	0	0
ACSM1		0	0	0	0	0	122	0	17	0	0
ACSM3		0	0	0	0	876	0	0	453	0	0
ACSM5		0	0	0	0	0	0	0	0	0	0
ACSS1		4175	3675	6000	2368	2453	6563	12403	4865	1355	2829
ACSS2		5970	3952	5991	7776	3892	2017	4804	7692	0	1298
ACSS3		549	1721	1057	3276	10101	435	11502	1414	6941	0
ACTA1		96889	182375	87835	297456	175881	107449	19973	92246	341503	339176
ACTBL2		994451	462757	2526962	616263	2079745	3439326	1210495	693113	1219561	1080679
ACTG1		100701	62248	172889	36428	328038	192199	371784	158682	144071	134574
ACTG2		40309	163887	143484	46372	279206	76075	32360	61314	343156	89257
ACTL6A		7977	9111	9878	4055	9892	6602	13876	8032	10520	10444
ACTN1		32883	44582	69434	44757	52670	31844	41683	48813	49933	139452
ACTN2		2100	4525	3130	2528	4174	2093	253	393	7864	0
ACTN4		29766	29222	35555	55175	40599	32550	46881	24342	34468	37326
ACTR10		302	595	94	423	222	412	1261	3033	0	1558
ACTR1A		13710	11677	8006	7886	15941	15525	23590	12320	15618	5304
ACTR1B		5289	4173	5374	2524	7051	6080	5527	6890	6367	1312
ACTR2		44781	44370	60401	41037	92303	64305	68371	48817	53880	76998
ACTR3		59844	36905	44727	29337	48300	49723	42929	27404	43865	34101
ACTR3B		4396	0	1897	0	0	122	1442	184	0	0
ACTR5		1006	300	795	203	1565	845	834	613	0	544
ACY1		5733	16510	13582	7089	11586	14646	8150	26834	14360	7930
ACYP1		7415	5492	12003	0	9906	7731	17894	5680	0	9023
ACYP2		12309	5773	9811	14822	7026	6547	6276	7729	10691	3496
ADA		5232	1226	2888	2434	6938	4401	1079	2033	1887	6574
ADA2		1234	222	0	569	1305	1464	806	423	0	288
ADAL		0	0	0	0	0	0	378	77	344	0
ADAM10		5347	5019	7262	5298	5086	5980	10668	6470	5734	2586
ADAM12		0	0	313	0	0	0	157	0	1255	500
ADAM15		1364	779	1097	1259	583	1160	176	790	0	1627
ADAM17		1086	1214	1299	1428	1292	1154	870	950	1331	1123
ADAM9		42	0	1151	0	140	2249	3887	4281	0	183
ADAMTS12		0	0	76	0	0	0	129	0	0	211
ADAMTSL3		0	0	50	0	0	0	66	0	0	0
ADAP2		207	222	167	0	237	0	107	247	0	866
ADAR		4181	3821	5191	2383	2903	2590	3252	2878	2813	39410
ADD1		9983	12694	11324	8402	14101	17599	4633	7059	11413	10899
ADD3		4925	5321	7823	5969	13438	11167	2745	1163	10720	3717
ADGB		317	357	197	205	0	125	397	248	381	424
ADGRA2		0	0	564	0	1178	0	0	0	587	0
ADGRE5		5310	1763	2219	717	4776	3982	1225	1663	1465	844
ADGRG1		45	0	2638	130	79	55	2103	182	5217	158
ADH1B		45327	103420	64051	555148	302044	66899	2297	54948	69388	0
ADH1C		0	9794	981	791	2894	1936	0	0	2151	0
ADH4		0	0	0	0	0	19598	0	0	0	0
ADH5		40998	76031	73247	77252	83394	52400	57532	51194	59048	54998
ADHFE1		0	0	0	327	0	0	0	327	0	0
ADI1		5084	4624	5639	10081	9088	8354	7057	5826	3481	4348
ADIPOQ		531	2079	1280	16992	2845	2578	1281	464	5286	0
ADIRF		0	7606	7016	47078	5398	3001	1636	43239	0	11576
ADK		21843	18195	10391	20245	18255	15453	13604	24432	8612	29039
ADNP		581	0	521	0	51	694	654	627	0	604
ADO		6432	5178	4851	3006	6368	5118	6637	6038	4678	4227
ADPGK		15201	6635	8646	5472	8380	14256	8359	8970	24914	6359
ADPRH		3155	2458	2102	2244	2285	2489	2551	2575	1698	3973
ADPRS		10645	10976	13082	8182	10647	9149	10999	10602	8839	15264
ADRM1		31181	31494	27050	25929	19036	23906	46865	46694	35802	44418
ADSL		5172	3084	3225	3894	2885	5108	4563	3391	5911	4086
ADSS1		828	0	778	0	1009	457	2008	427	0	0
ADSS2		12907	10757	9318	5425	6775	9555	7633	8695	8907	11410
AEBP1		5399	13085	13345	11968	8229	8120	12321	6378	9708	39614
AFAP1		744	187	96	307	406	637	434	63	0	600
AFAP1L2		661	0	754	0	1155	237	246	0	1253	291
AFDN		495	308	984	1144	578	556	1505	3114	0	3837
AFF4		125	0	0	0	0	0	0	0	0	0
AFG3L2		4572	4797	3902	3955	3028	4079	2878	7898	4408	6525
AFM		6327	17881	8049	25148	12839	12686	4804	4285	26233	8593
AFTPH		493	0	120	0	0	0	249	510	0	366
AGA		6969	15147	17860	3416	17965	15693	20469	24216	17862	17523
AGAP1		0	0	324	0	0	604	851	888	0	408
AGAP2		312	0	0	0	304	248	0	195	0	0
AGAP3		393	0	362	0	457	551	591	696	383	778
AGFG1		4143	3048	4068	2587	4880	5640	2089	8302	2063	2776
AGFG2		558	0	94	0	404	0	442	457	0	0
AGK		8867	7870	6403	8046	5995	10122	7996	8692	6776	18245
AGL		3020	3515	6498	2116	4911	2142	3158	4642	26022	6111
AGO1		1482	2956	3044	1356	2561	2175	2730	2244	3194	2276
AGO2		1763	732	1580	1342	1922	2178	2170	1171	2615	1416
AGO3		227	266	753	0	488	176	364	670	521	1510
AGPAT1		966	0	1519	301	1281	908	1305	1150	0	1821
AGPAT2		4502	5465	6283	16562	3451	5504	3406	2239	0	3174
AGPAT3		0	0	441	628	1280	866	1125	929	0	1006
AGPAT5		6469	5115	1427	2618	2000	3775	2250	2331	0	1249
AGPS		3931	1397	3277	2894	3218	5407	5046	3727	4804	2668
AGR2		2906	118454	261967	0	10816	543400	168333	76264	391628	28442
AGR3		495	85978	166783	0	68312	16094	258670	249341	77512	35532
AGRN		1918	4389	3951	2399	3294	1887	1736	1554	5642	4133
AGT		10589	57821	23145	74611	17029	23320	10478	14975	43608	37779
AGTR1		0	0	0	0	0	0	0	1149	0	0
AGTRAP		25153	16665	27779	10485	21032	24001	19637	34565	25518	15527
AHCTF1		453	88	231	47	308	275	124	304	109	1727
AHCY		103308	129802	124914	92882	88996	101087	154411	140654	112262	179672
AHCYL1		2807	4883	9444	2440	9335	6513	6231	7294	1884	2421
AHCYL2		2371	2774	4511	1902	3448	3872	3594	12126	1721	1150
AHDC1		84	100	68	0	150	100	0	78	0	123
AHNAK		3254	13702	14705	21894	18875	10117	9783	17511	12549	25622
AHNAK2		208	543	640	661	622	429	122	443	356	1713
AHR		586	178	520	0	655	703	0	268	0	472
AHSA1		15724	11943	19110	7343	10701	15292	15102	9033	11511	121025
AHSG		97191	209832	192189	415416	197710	224150	60439	41838	423062	70730
AIDA		12290	19245	16956	17538	15107	15715	9318	11504	19949	19583
AIF1		9424	6171	14638	9278	16650	12422	7409	8075	7696	8490
AIF1L		0	0	0	1345	571	0	0	0	0	891
AIFM1		12917	9950	10635	8972	9275	10473	18204	11848	9846	9120
AIFM2		12308	0	0	16730	0	0	1684	2576	1829	0
AIMP1		23370	21237	27998	12720	19647	22934	33132	28701	24853	21853
AIMP2		20841	10095	9822	8879	16016	17678	15749	19318	21818	7634
AIP		19397	11927	13642	12648	17692	14712	9194	9940	16778	9481
AK1		26865	36941	45542	38774	26984	31949	37989	49481	25799	32468
AK2		111139	105116	103485	105454	88748	75445	165898	115861	51740	101685
AK3		34196	40604	39743	59043	31886	30418	24993	30022	33038	41371
AK4		23742	32621	38021	27723	21738	16811	43872	61887	32728	43174
AK5		0	822	578	0	290	0	489	0	222	392
AK6		10710	0	5107	0	0	2190	1007	7407	0	5787
AKAP1		1742	797	1673	923	946	1143	4898	475	1714	940
AKAP10		605	122	736	0	74	518	1080	927	436	339
AKAP12		776	2208	2650	4425	3470	3481	755	634	3324	1316
AKAP13		244	161	212	163	214	95	197	148	0	908
AKAP2		2086	1486	1930	1736	2229	2868	1084	781	1939	424
AKAP8		577	201	138	0	333	338	489	395	0	303
AKAP8L		360	0	0	0	556	0	554	461	0	495
AKAP9		74	13	150	56	68	99	352	732	695	70
AKR1A1		57578	87457	77588	49829	75524	94389	92452	85252	67412	74759
AKR1B1		129134	86320	84315	93341	89206	65431	49211	60184	61882	98581
AKR1B10		6947	11072	12279	0	0	6406	0	7405	16766	13228
AKR1B15		362	0	0	0	1793	0	166	0	0	0
AKR1C2		10595	8827	2598	31499	3352	2640	0	4363	8277	0
AKR1C3		13511	32062	16269	108377	4560	16189	6006	12338	34086	2458
AKR7A2		21981	32693	63218	25850	52044	47030	77053	75832	27376	31626
AKR7A3		1162	9895	19270	0	10308	12262	551691	65207	0	2029
AKT1		1951	1790	6271	1148	1371	3767	7495	3376	6613	3646
AKT1S1		4203	7785	6597	3671	8096	6178	7753	9002	3189	9062
AKT2		758	951	1316	1923	1171	753	1130	1241	650	1746
AKTIP		0	0	198	0	226	185	484	424	0	0
ALAD		11143	24203	19961	30775	17663	14911	18161	15795	19639	13825
ALB		6027380	14405916	12462157	33299398	12872530	14346747	6105747	2833602	38573976	3729241
ALCAM		608	6374	9986	0	6677	11336	3476	19446	4117	3128
ALDH16A1		8286	8422	7920	5138	9922	7553	5481	12150	8152	5465
ALDH18A1		10195	8029	6994	2222	3390	16620	3064	7485	7438	8289
ALDH1A1		18077	29531	30371	53069	53459	19474	7759	9981	35012	10647
ALDH1A2		0	0	606	0	654	441	0	0	0	0
ALDH1A3		532	922	662	924	660	1302	0	1040	556	0
ALDH1B1		7216	6937	10177	4703	6969	9422	5149	8629	6594	13571
ALDH1L1		708	719	959	5189	355	1236	369	385	0	331
ALDH1L2		3066	2576	3884	7779	4252	2974	1270	2117	3135	3859
ALDH2		44784	61442	43534	145100	56931	55085	68105	27699	46803	39782
ALDH3A2		9476	8166	7879	13671	10580	8354	20080	31743	14721	3827
ALDH3B1		1026	882	510	0	849	1050	2130	1678	0	1315
ALDH4A1		10969	16655	14738	25241	10616	41794	14928	46647	11437	22307
ALDH5A1		4196	3261	4941	8122	3997	5473	15485	13563	3313	8273
ALDH6A1		9225	18115	21489	25677	24340	18471	39528	30880	16603	8569
ALDH7A1		17776	24775	34130	20327	37335	22726	35998	26930	33754	21594
ALDH9A1		61200	78347	75921	65336	59066	49335	45669	64219	55330	48105
ALDOA		186259	149194	288291	136430	239427	296722	479767	406859	201307	241705
ALDOB		0	0	0	0	0	0	0	0	0	0
ALDOC		81884	85314	86538	61706	85341	122633	176884	157453	73973	54221
ALG1		2037	1537	1896	0	3079	2588	2620	3016	3156	1950
ALG11		2228	2487	3616	3216	2928	3268	5821	2253	2219	2004
ALG12		1897	0	1358	0	1489	1708	2234	2910	0	1731
ALG2		4499	4148	4249	1738	4397	5369	5047	2936	4066	2003
ALG5		4140	2106	1499	1377	3252	5605	2193	1166	1348	980
ALG6		0	0	0	0	0	0	0	669	0	2199
ALG9		1419	0	1894	0	1396	1925	1800	1336	0	0
ALKBH4		193	0	945	0	1082	0	3109	901	0	1486
ALKBH5		1310	1185	900	473	1386	778	1264	1578	2173	1694
ALKBH7		0	0	730	157	799	776	1823	1512	0	825
ALOX12B		0	0	0	0	0	0	0	0	0	855
ALOX15		0	0	0	0	0	0	0	763	819	0
ALOX15B		381	2743	1397	0	11797	2855	813	784	0	4062
ALOX5		1861	985	1651	920	1161	1229	1377	1287	1969	3136
ALOX5AP		246688	77640	122321	72944	181189	177824	117488	56473	154159	57710
ALPL		4594	3762	497	2357	11665	4439	123	2980	18026	2576
ALS2		273	83	498	239	217	220	321	40	1541	0
ALYREF		31856	42766	20077	5151	53154	30222	33670	8796	8247	67589
AMACR		341	1023	1101	0	176	1186	4943	2297	930	2209
AMBP		45025	88754	68019	157453	114087	105882	36792	30718	219786	33703
AMDHD2		9576	12105	9696	11111	8626	10588	15953	17073	10351	11382
AMFR		1131	0	1097	456	974	1543	2678	2853	1418	0
AMPD2		3987	3304	2889	734	2577	1877	1834	2283	3231	5154
AMPD3		2583	579	1130	967	0	1532	1198	1453	1107	1006
AMPH		0	315	412	262	564	456	264	447	0	2283
ANAPC1		312	81	391	169	348	344	331	297	325	370
ANAPC4		591	258	609	583	380	515	516	663	346	697
ANAPC5		119	0	74	0	186	0	167	289	0	526
ANAPC7		961	1299	1729	140	1235	837	566	2275	864	2588
ANG		0	44673	24066	16699	21781	13570	25076	8822	31761	48222
ANGPTL2		554	3623	3786	865	4497	1681	2396	1549	7964	7105
ANK1		456	1788	685	2019	659	1169	426	486	1578	0
ANK2		4114	7385	4001	5932	4069	6311	5083	3470	13648	2416
ANK3		377	513	512	193	304	194	547	587	88	77
ANKFY1		4107	3903	5493	3374	4898	5046	6281	7745	5189	3715
ANKHD1		308	63	337	0	245	146	257	207	138	147
ANKIB1		0	0	43	0	389	153	0	402	0	0
ANKLE2		153	0	250	0	654	372	245	635	0	430
ANKMY2		1166	0	2044	412	714	1039	1912	2051	1649	1039
ANKRD13A		1504	391	983	149	1587	1350	954	1098	1068	942
ANKRD17		185	33	195	0	0	167	204	233	119	130
ANKRD22		15790	854	1653	649	1670	3973	12239	1192	3156	2132
ANKRD28		432	628	693	0	765	471	717	1614	553	836
ANKRD44		1667	654	606	332	1503	1001	858	1300	1810	970
ANKRD46		841	0	0	1786	0	0	1002	6046	0	0
ANKRD50		0	0	83	0	0	79	153	162	358	39
ANKRD52		0	0	14	0	0	0	0	336	0	194
ANKS1A		916	213	647	77	756	510	935	953	732	611
ANKZF1		190	0	0	0	45	68	217	145	0	0
ANLN		187	0	0	0	0	0	0	0	0	0
ANO1		187	1235	1003	367	201	90	6724	181	1735	225
ANO10		3230	0	608	1044	795	448	359	850	0	390
ANO2		0	0	0	0	0	0	4277	0	0	0
ANO6		571	440	1314	772	1452	804	1029	733	267	1632
ANOS1		0	0	0	0	0	0	0	0	0	310
ANP32A		108223	86619	114215	39047	151255	124160	122315	88002	111836	45675
ANP32B		35702	29131	24712	14648	29738	34750	22519	25746	19268	22181
ANP32E		15611	7999	7014	9656	10523	9120	6967	7023	8776	8037
ANPEP		7167	9766	5592	8889	8504	4771	59845	7198	44647	15011
ANTXR1		1005	508	1310	0	1505	1007	2391	1228	2094	3338
ANXA1		168221	156113	173987	251549	268744	166456	66017	66978	217516	115723
ANXA11		33575	35167	42879	42315	37816	38194	29825	32420	77302	31069
ANXA2		264257	370430	382932	684356	578492	438184	257868	300966	474530	380379
ANXA3		14526	41969	36936	61036	62772	19325	63972	3977	32788	1300
ANXA4		57169	53377	69651	55609	79851	72925	56841	54824	59161	46041
ANXA5		489893	443155	659439	627250	560834	729263	352737	389966	574602	272968
ANXA6		65873	64099	64055	91302	82550	73582	76990	83078	91678	68021
ANXA7		81752	62372	89289	61666	71523	73644	80885	68396	73764	69999
ANXA9		132	3047	6001	0	6114	3803	9609	7035	1170	734
AOC1		0	0	0	3899	0	0	0	0	0	0
AOC3		26279	84335	52547	637395	47634	46090	1463	46047	73740	3755
AOX1		429	564	333	505	607	1072	0	48	849	0
AP1B1		12718	9736	9911	6271	14725	33457	12921	14190	8685	13197
AP1G1		4303	6707	2394	2705	3628	3308	13771	11173	4257	7655
AP1G2		1947	2137	2720	57	1151	4617	277	2558	1153	1724
AP1M1		21179	7017	8382	23023	38198	11059	11874	8297	13579	5096
AP1M2		4910	8692	9884	974	6158	10925	22407	18288	13372	5181
AP1S1		6253	9147	17338	2415	9565	11259	28100	23682	9215	7721
AP1S2		10965	10064	10358	7102	9435	10135	11549	15437	9767	12800
AP2A1		14414	15100	12490	8607	11102	13576	16301	10270	15227	11312
AP2A2		7592	7972	9228	6868	7965	8718	7030	7392	7649	8625
AP2B1		6883	11962	12932	7931	11968	10279	12272	10302	6026	14071
AP2M1		19513	19448	21404	19296	17998	20804	19022	15780	22212	25531
AP2S1		115619	108482	120941	110785	130833	126153	110667	89304	114053	80966
AP3B1		346	806	818	2476	555	1307	1108	1468	476	663
AP3D1		610	348	858	649	342	1073	715	1348	243	949
AP3M1		6360	8049	7776	4170	7677	9497	5212	12650	8231	8474
AP3M2		0	1311	1274	0	3442	796	4272	3972	0	3438
AP3S1		16622	19844	24839	4545	17776	10321	8965	19408	18756	31271
AP3S2		1892	0	1839	0	0	2519	0	24932	3798	0
AP4B1		84	0	72	0	0	46	124	146	0	0
AP5B1		570	88	330	0	400	0	807	382	0	306
AP5M1		803	197	789	0	368	495	903	981	226	1220
AP5Z1		1465	510	2575	0	837	347	4859	1747	639	5121
APAF1		410	0	228	75	387	303	290	208	263	70
APBB1IP		6897	1755	2037	2989	2545	3236	1090	2333	2699	4949
APBB2		4645	1330	1498	716	0	0	95	1085	0	3840
APCS		57968	288314	290003	248769	2309311	312695	130002	46762	176389	45362
APEH		16463	17326	17947	9460	22957	18606	18735	29713	26691	12288
APEX1		57596	47741	43463	25596	52233	39789	27978	39445	47416	37300
API5		9303	7624	6464	5154	7549	6786	5774	5865	8955	7595
APIP		8917	8453	10416	3652	7776	8637	10260	6350	14013	7153
APLP2		139	0	531	360	336	271	3204	2024	0	2446
APMAP		83972	76981	81593	75551	76751	104949	175907	68297	83473	58657
APOA1		340032	1091072	637492	1770045	659962	1025028	350351	555213	1355564	449649
APOA2		139963	378422	296005	866843	243297	186043	129898	184201	590492	193475
APOA4		31527	83251	63688	194728	69949	65024	41721	20248	155743	38237
APOB		2569	2957	3501	4965	8658	5014	1256	1389	9819	3946
APOBEC3B		788	0	0	0	0	520	316	455	0	0
APOBEC3C		4536	0	1159	19548	2505	1940	0	1565	3036	791
APOBEC3F		801	0	0	0	791	815	0	937	314	0
APOBEC3G		893	0	125	0	0	995	0	242	0	216
APOBR		1909	8401	4574	11874	4210	5848	2548	4461	12377	4525
APOC1		6620	33353	35017	29655	43172	37869	19260	18841	27774	18335
APOC2		27377	77609	44930	98223	46382	68562	21501	23577	87046	22406
APOC3		43427	161917	67920	221798	74119	168451	27259	31553	165997	24368
APOD		28329	373843	3215581	208666	29885438	108894	142075	11172	361893	82759
APOE		37165	62045	38044	62755	59101	67463	90358	28588	117806	42030
APOH		62275	301001	111489	282630	83510	140137	80923	44992	335611	134128
APOL1		3785	5577	3503	8927	9224	8743	1974	2665	15276	3389
APOL2		25195	10292	18110	2026	399	8992	15274	13190	91778	14201
APOL3		5771	4495	1591	2910	4968	3498	0	3083	0	5465
APOM		31395	72431	54114	125021	78141	90026	30273	19742	151787	31974
APOO		17892	26238	19493	13055	13982	14871	23904	22704	15734	13406
APOOL		6849	11351	9000	7256	13566	9539	13301	17009	14755	11843
APP		522	1148	655	5776	437	352	1273	805	1271	1278
APPL1		4055	6018	6393	5324	6471	6211	2997	7880	7041	5933
APPL2		6271	17976	8100	5548	6602	7247	13305	6121	1235	13139
APRT		192799	159119	164312	123603	144938	174390	113169	293543	124807	123481
APTX		0	0	325	0	0	0	94	658	0	582
AQP1		3786	2785	5182	1676	18368	11915	1333	2462	7707	0
AQP5		0	0	0	0	0	0	0	0	0	1511
AQR		703	945	912	142	1261	915	489	1134	420	720
AR		0	0	575	0	0	0	659	378	2111	1356
ARAF		2827	2484	2182	174	2493	1552	1764	1596	1806	1412
ARAP1		1259	2566	1827	565	1524	1502	1481	2003	1209	4295
ARCN1		22895	35395	30837	18464	20050	27127	28234	35583	22495	33340
ARF1		37014	45353	69483	36138	46068	71569	58614	65852	34122	77770
ARF4		39980	74077	71812	34212	41707	62326	38939	88793	65556	101293
ARF5		3841	5797	6078	2618	5455	6812	6761	9326	2422	5293
ARF6		11090	15232	15435	13524	15701	11372	9734	16229	10883	22575
ARFGAP1		5459	2279	2851	736	2475	3802	10992	3378	7205	10889
ARFGAP2		4106	4108	8693	962	5095	6553	8097	9723	6205	6421
ARFGAP3		2616	1721	2151	198	2136	3743	1239	551	1335	3172
ARFGEF1		582	266	697	318	578	393	1136	1910	800	1369
ARFGEF2		535	667	881	406	1117	1042	5880	3835	741	912
ARFGEF3		1014	6868	603	69	10902	2320	10823	467	882	15672
ARFIP1		6026	10379	13765	3582	9586	10480	9330	14285	14534	11484
ARFIP2		2404	3825	4718	0	4750	10098	7592	5348	7121	3988
ARFRP1		184	185	1249	0	669	1603	749	1995	0	797
ARG1		2085	0	1566	2666	1343	7749	451	1371	6396	304
ARHGAP1		28784	44170	59217	39774	45336	64473	92336	60252	50752	188009
ARHGAP12		108	0	0	0	0	0	532	363	0	321
ARHGAP17		4064	3130	2394	2667	3283	5943	3566	3773	3385	3019
ARHGAP18		1725	1647	1209	974	1406	1323	1233	1669	1380	1510
ARHGAP25		3378	405	563	383	2153	2517	436	388	1821	662
ARHGAP27		1129	0	0	541	560	610	1099	941	0	292
ARHGAP30		1053	0	0	0	491	999	347	381	0	567
ARHGAP32		0	102	124	0	118	89	573	286	0	99
ARHGAP35		448	726	847	137	2459	550	1002	852	207	1177
ARHGAP4		2671	2047	2853	713	3050	2443	1726	1297	4400	2258
ARHGAP45		4701	669	2539	549	3030	2228	6011	900	1232	1019
ARHGAP5		249	34	297	0	88	74	261	1212	1377	83
ARHGAP8		378	0	480	0	0	1390	2457	1164	0	1379
ARHGAP9		1097	0	196	317	942	523	161	349	1024	465
ARHGDIA		147006	146713	162237	117172	174639	157049	218212	156967	170763	166613
ARHGDIB		74201	163171	74916	31200	79065	83731	101191	44034	46350	64112
ARHGEF1		5258	3226	2935	2920	3856	3774	1424	2453	5071	4359
ARHGEF10		225	0	0	0	0	0	0	0	0	0
